Hexalith.Conversations.IntegrationTests	ByteAether.Ulid	1.4.0
Hexalith.Conversations.IntegrationTests	Dapr.Actors	1.18.7
Hexalith.Conversations.IntegrationTests	Dapr.Actors.AspNetCore	1.18.7
Hexalith.Conversations.IntegrationTests	Dapr.AspNetCore	1.18.7
Hexalith.Conversations.IntegrationTests	Dapr.Client	1.18.7
Hexalith.Conversations.IntegrationTests	Dapr.Common	1.18.7
Hexalith.Conversations.IntegrationTests	Dapr.Protos	1.18.7
Hexalith.Conversations.IntegrationTests	DiffEngine	11.3.0
Hexalith.Conversations.IntegrationTests	EmptyFiles	4.4.0
Hexalith.Conversations.IntegrationTests	Fractions	7.3.0
Hexalith.Conversations.IntegrationTests	Google.Api.CommonProtos	2.17.0
Hexalith.Conversations.IntegrationTests	Google.Protobuf	3.35.0
Hexalith.Conversations.IntegrationTests	Grpc.AspNetCore	2.80.0
Hexalith.Conversations.IntegrationTests	Grpc.AspNetCore.Server	2.80.0
Hexalith.Conversations.IntegrationTests	Grpc.AspNetCore.Server.ClientFactory	2.80.0
Hexalith.Conversations.IntegrationTests	Grpc.Core.Api	2.80.0
Hexalith.Conversations.IntegrationTests	Grpc.Net.Client	2.80.0
Hexalith.Conversations.IntegrationTests	Grpc.Net.ClientFactory	2.80.0
Hexalith.Conversations.IntegrationTests	Grpc.Net.Common	2.80.0
Hexalith.Conversations.IntegrationTests	Grpc.Reflection	2.80.0
Hexalith.Conversations.IntegrationTests	Grpc.Tools	2.80.0
Hexalith.Conversations.IntegrationTests	Hexalith.Commons.UniqueIds	2.30.0
Hexalith.Conversations.IntegrationTests	Hexalith.EventStore.Contracts	3.106.0
Hexalith.Conversations.IntegrationTests	Humanizer.Core	3.0.10
Hexalith.Conversations.IntegrationTests	Json.More.Net	3.0.1
Hexalith.Conversations.IntegrationTests	JsonPatch.Net	5.0.2
Hexalith.Conversations.IntegrationTests	JsonPointer.Net	7.0.1
Hexalith.Conversations.IntegrationTests	KubernetesClient	19.0.2
Hexalith.Conversations.IntegrationTests	MediatR	14.2.0
Hexalith.Conversations.IntegrationTests	MediatR.Contracts	2.0.1
Hexalith.Conversations.IntegrationTests	MessagePack	2.5.302
Hexalith.Conversations.IntegrationTests	MessagePack.Annotations	2.5.302
Hexalith.Conversations.IntegrationTests	Microsoft.ApplicationInsights	2.23.0
Hexalith.Conversations.IntegrationTests	Microsoft.AspNetCore.Authentication.JwtBearer	10.0.12
Hexalith.Conversations.IntegrationTests	Microsoft.AspNetCore.DataProtection.Abstractions	10.0.12
Hexalith.Conversations.IntegrationTests	Microsoft.Bcl.AsyncInterfaces	6.0.0
Hexalith.Conversations.IntegrationTests	Microsoft.Bcl.Cryptography	10.0.2
Hexalith.Conversations.IntegrationTests	Microsoft.CodeCoverage	18.10.1
